code,description,required_qty,cost,retail
913000000199,F /ASS ACES POLO & POLO FASHION FR ,6,30.755,250
913000000301,F /ASS ALAIN MIKLI,8,150.519090909091,150
913000000479,F /ASS ALBERTO MODIANI-M,70,71.685,370
913000000752,F /ASS ALESSANDRO DELL ACQU,2,24.532380952381,320
913000000285,F /ASS ALEXANDER MQUEEN,1,135.475,680
913000000079,F /ASS ALL TIME ITALY FR,2,27.655,290
913000000647,F /ASS ANNASUI F2 ITALY,4,39.13,420
913000000792,F /ASS BAMBINI ITALY FR,1,165,450
913000000509,F /ASS BAMBINO FR D,35,17.4894339622642,250
913000000453,F /ASS BAO JI FR D,3,17.675,250
913000000405,F /ASS BEAUSOLEIL FR,10,57.085,480
913000000795,F /ASS BEENA FR D,11,23.3646153846154,180
913000000192,F /ASS BENITION,66,35.7241025641026,180
913000000767,F /ASS BLU GIRL ITALY F2,10,24.348125,380
913000000766,F /ASS BLU GIRL ITALY FR,9,24.3478260869565,380
913000000799,F /ASS BLUE BAY F2 D,4,50,350
913000000371,F /ASS BLUE BAY FR D,5,15.35,250
913000000763,F /ASS BLUMARINE ITALY FR,26,24.3476016260163,380
913000000353,F /ASS BOSS FR D,3,15.0742857142857,140
913000000346,F /ASS BOTTIGA VENETA ITALY,2,136.144615384615,750
913000000185,F /ASS BOURGEOIS & JACOMO,95,80.7116981132076,180
913000000168,F /ASS BOWLING,41,44,190
913000000072,F /ASS BRENDEL GRP,93,29.92,140
913000000029,F /ASS BRIO + A.D LUMEN,127,27.885843373494,120
913000000074,F /ASS CACHAREL,16,120.545454545455,280
913000000577,F /ASS CARBONIC FR D,1,19.4845454545455,290
913000000239,F /ASS CARMILAR FR D,67,19.7863562753036,250
913000000427,F /ASS CAROLINA HERRERA F2,1,39.97,320
913000000142,F /ASS CARRERA F2 D,3,40.4281428571429,350
913000000141,F /ASS CARRERA FR D,24,19.6017857142857,250
913000000584,F /ASS CARRERA ITALY F2 ,6,129.805,600
913000000812,F /ASS CAT ITALY FR,1,90.784,370
913000000810,F /ASS CAZALINO FR D,2,0,190
913000000814,F /ASS CELLINE F2 D,-52,34,650
913000000513,F /ASS CELLINI / OPTICA FR,192,143.505,450
913000000604,F /ASS CHAMPION FR ITALY,2,19.5633333333333,250
913000000322,F /ASS CHANEL FR D,1,47.846,350
913000000021,F /ASS CHANTTELL,503,48.7037424547284,250
913000000339,F /ASS CHARILE DUKE,184,12.205,320
913000000126,F /ASS CHARMANT FR D,29,13.2090202702703,250
913000000605,F /ASS CHRISTIES METAL FR,67,35.015,500
913000000561,F /ASS COLLEGE ITALY FR MOD,2,59.5225,540
913000000013,F /ASS CONTINENTAL EYEWEAR,2,50,250
913000000716,F /ASS COTTON CLUB ITALY FR,4,26.8247058823529,250
913000000118,F /ASS COUNTRY ITALY F2,1,87.0514285714286,420
913000000821,F /ASS CROSS & CROX OVER AS,1,34,140
913000000379,F /ASS CUCCIOLI CHILD F2,20,37.0468181818182,100
